对话ID,触发方式,启用模式,[触发条件]组合,[触发条件]1类型,[触发条件]1参数1,[触发条件]1参数2,[触发条件]2类型,[触发条件]2参数1,[触发条件]2参数2,[触发条件]2参数3,[触发条件]3类型,[触发条件]3参数1,[触发条件]3参数2,[触发条件]3参数3,[触发条件]4类型,[触发条件]4参数1,[触发条件]4参数2,[触发条件]4参数3,[触发条件]5类型,[触发条件]5参数1,[触发条件]5参数2,[触发条件]5参数3,优先级,后续对话ID,初始台词ID,台词装饰ID,演员NpcID,专属父任务ID,额外加载标识ID,标识屏蔽NpcID,[完成执行]1类型,[完成执行]1参数1,[完成执行]1参数2,[完成执行]2类型,[完成执行]2参数1,[完成执行]2参数2,[完成执行]3类型,[完成执行]3参数1,[完成执行]3参数2
3000001,2,,,1,3000002,2,,,,,,,,,,,,,,,,,9,3000004#3000005,300000101,,157701,30000,,,,,,,,,,,
3000002,2,,1,1,3000003,2,3,{QuestGatherID},{QuestGatherNum},,,,,,,,,,,,,,,3000006#3000007#3000009,300000201,,157701,30000,,,,,,,,,,,
3000003,2,,1,1,3000003,2,8,{QuestGatherID},{QuestGatherNum},,,,,,,,,,,,,,,3000008#3000009,300000301,,157701,30000,,,,,,,,,,,
3000004,,,,,,,,,,,,,,,,,,,,,,,,,300000401,,157701,30000,,,,,,,,,,,
3000005,,,,,,,,,,,,,,,,,,,,,,,,,300000501,,157701,30000,,,,,,,,,,,
3000006,,,,,,,,,,,,,,,,,,,,,,,,3000010,300000601,,157701,30000,,,,,,,,,,,
3000007,,,,,,,,,,,,,,,,,,,,,,,,,300000701,,157701,30000,,,,,,,,,,,
3000008,,,,,,,,,,,,,,,,,,,,,,,,,300000801,,157701,30000,,,,,,,,,,,
3000009,,,,,,,,,,,,,,,,,,,,,,,,,300000901,,157701,30000,,,,,,,,,,,
3000010,,,1,1,3000002,3,,,,,,,,,,,,,,,,,,,300001001,,157701,30000,,,,,,,,,,,
3000011,,,1,1,3000002,3,,,,,,,,,,,,,,,,,,,300001101,,157701,30000,,,,,,,,,,,
3000101,2,,,1,3000102,2,,,,,,,,,,,,,,,,,9,,300010101,,157701,30001,,,,,,,,,,,
3000201,2,,,1,3000202,2,,,,,,,,,,,,,,,,,9,,300010101,,152301,30002,,,,,,,,,,,
3000301,2,,,1,3000302,2,,,,,,,,,,,,,,,,,9,,300010101,,154901,30003,,,,,,,,,,,
3000401,2,,,1,3000402,2,,,,,,,,,,,,,,,,,9,,300010101,,141301,30004,,,,,,,,,,,
3000501,2,,,1,3000502,2,,,,,,,,,,,,,,,,,9,,300010101,,154101,30005,,,,,,,,,,,
3000601,2,,,1,3000602,2,,,,,,,,,,,,,,,,,9,,300010101,,153901,30006,,,,,,,,,,,
3000701,2,,,1,3000702,2,,,,,,,,,,,,,,,,,9,,300010101,,156301,30007,,,,,,,,,,,
3001101,2,,,1,3001101,2,,,,,,,,,,,,,,,,,9,3001104#3001105,300110101,,147901,30011,,,,,,,,,,,
3001102,2,,1,1,3001102,2,3,{QuestGatherID},{QuestGatherNum},,,,,,,,,,,,,,9,3001106#3001107,300110201,,147901,30011,,,,,,,,,,,
3001103,2,,1,1,3001102,2,8,{QuestGatherID},{QuestGatherNum},,,,,,,,,,,,,,9,,300110301,,147901,30011,,,,,,,,,,,
3001104,,,,,,,,,,,,,,,,,,,,,,,,,300110401,,147901,30011,,,,,,,,,,,
3001105,,,,,,,,,,,,,,,,,,,,,,,,,300110501,,147901,30011,,,,,,,,,,,
3001106,,,,,,,,,,,,,,,,,,,,,,,,,300110601,,147901,30011,,,,,,,,,,,
3001107,,,,,,,,,,,,,,,,,,,,,,,,,300110701,,147901,30011,,,,,,,,,,,
3001201,2,,,1,3001201,2,,,,,,,,,,,,,,,,,9,3001204#3001205,300110101,,143101,30012,,,,,,,,,,,
3001202,2,,1,1,3001202,2,3,{QuestGatherID},{QuestGatherNum},,,,,,,,,,,,,,9,3001206#3001207,300110201,,143101,30012,,,,,,,,,,,
3001203,2,,1,1,3001202,2,8,{QuestGatherID},{QuestGatherNum},,,,,,,,,,,,,,9,,300110301,,143101,30012,,,,,,,,,,,
3001204,,,,,,,,,,,,,,,,,,,,,,,,,300110401,,143101,30012,,,,,,,,,,,
3001205,,,,,,,,,,,,,,,,,,,,,,,,,300110501,,143101,30012,,,,,,,,,,,
3001206,,,,,,,,,,,,,,,,,,,,,,,,,300110601,,143101,30012,,,,,,,,,,,
3001207,,,,,,,,,,,,,,,,,,,,,,,,,300110701,,143101,30012,,,,,,,,,,,
3001301,2,,,1,3001301,2,,,,,,,,,,,,,,,,,9,3001304#3001305,300110101,,140801,30013,,,,,,,,,,,
3001302,2,,1,1,3001302,2,3,{QuestGatherID},{QuestGatherNum},,,,,,,,,,,,,,9,3001306#3001307,300110201,,140801,30013,,,,,,,,,,,
3001303,2,,1,1,3001302,2,8,{QuestGatherID},{QuestGatherNum},,,,,,,,,,,,,,9,,300110301,,140801,30013,,,,,,,,,,,
3001304,,,,,,,,,,,,,,,,,,,,,,,,,300110401,,140801,30013,,,,,,,,,,,
3001305,,,,,,,,,,,,,,,,,,,,,,,,,300110501,,140801,30013,,,,,,,,,,,
3001306,,,,,,,,,,,,,,,,,,,,,,,,,300110601,,140801,30013,,,,,,,,,,,
3001307,,,,,,,,,,,,,,,,,,,,,,,,,300110701,,140801,30013,,,,,,,,,,,
